date,total_test,positive_test,percent_positive,percent_positive_7days_agg,UptDate
01/10/2021 12:00:00 AM,36608,4512,0.1233,0.0925,04/10/2021 11:30:16 PM
10/05/2020 12:00:00 AM,55181,950,0.0172,0.018,03/17/2021 02:17:51 PM
03/18/2021 12:00:00 AM,75358,3824,0.0507,0.0631,06/12/2021 11:30:11 PM
05/08/2020 12:00:00 AM,13972,1794,0.1284,,03/17/2021 02:15:09 PM
09/14/2020 12:00:00 AM,45155,556,0.0123,0.012,03/17/2021 02:17:43 PM
05/23/2020 12:00:00 AM,13106,762,0.0581,,03/17/2021 02:17:34 PM
08/03/2020 12:00:00 AM,36570,468,0.0128,0.0133,03/17/2021 02:17:35 PM
12/09/2020 12:00:00 AM,74918,3875,0.0517,0.0565,03/17/2021 04:46:13 PM
10/04/2020 12:00:00 AM,17662,404,0.0229,0.0171,03/17/2021 02:17:50 PM
06/15/2020 12:00:00 AM,37039,641,0.0173,,03/17/2021 02:17:33 PM
01/17/2021 12:00:00 AM,33516,4151,0.1239,0.0925,04/16/2021 11:30:19 PM
12/06/2020 12:00:00 AM,27714,2207,0.0796,0.0548,03/17/2021 04:46:09 PM
03/11/2020 12:00:00 AM,812,164,0.202,,03/17/2021 02:17:26 PM
02/19/2021 12:00:00 AM,67098,4398,0.0655,0.0756,05/18/2021 11:30:23 PM
04/15/2021 12:00:00 AM,73598,2886,0.0392,0.0509,06/12/2021 11:30:11 PM
05/10/2021 12:00:00 AM,77393,1038,0.0134,0.0192,06/14/2021 11:30:10 PM
08/19/2020 12:00:00 AM,37579,345,0.0092,0.0111,03/17/2021 02:17:35 PM
03/18/2020 12:00:00 AM,6472,3052,0.4716,,03/17/2021 02:15:12 PM
08/02/2020 12:00:00 AM,11396,183,0.0161,,03/17/2021 02:17:33 PM
04/07/2021 12:00:00 AM,80037,3827,0.0478,0.0602,06/12/2021 11:30:11 PM
03/31/2020 12:00:00 AM,8591,5754,0.6698,,03/17/2021 02:17:29 PM
02/06/2021 12:00:00 AM,39020,4509,0.1156,0.0887,05/07/2021 11:30:11 PM
09/08/2020 12:00:00 AM,47141,526,0.0112,0.0105,03/17/2021 02:17:41 PM
01/19/2021 12:00:00 AM,94840,7128,0.0752,0.0948,04/16/2021 11:30:19 PM
12/24/2020 12:00:00 AM,49151,4051,0.0824,0.0737,03/25/2021 11:30:19 PM
08/28/2020 12:00:00 AM,32692,352,0.0108,0.0107,03/17/2021 02:17:38 PM
04/11/2020 12:00:00 AM,7832,4028,0.5143,,03/17/2021 02:17:31 PM
06/26/2020 12:00:00 AM,28410,438,0.0154,,03/17/2021 02:17:33 PM
08/05/2020 12:00:00 AM,33562,420,0.0125,,03/17/2021 02:17:34 PM
11/27/2020 12:00:00 AM,50145,2863,0.0571,0.0437,03/17/2021 02:18:04 PM
06/16/2020 12:00:00 AM,35295,626,0.0177,,03/17/2021 02:17:34 PM
06/19/2020 12:00:00 AM,30293,539,0.0178,,03/17/2021 02:17:34 PM
05/18/2020 12:00:00 AM,21635,1582,0.0731,,03/17/2021 02:17:34 PM
03/25/2021 12:00:00 AM,82185,4879,0.0594,0.0652,06/12/2021 11:30:11 PM
01/15/2021 12:00:00 AM,79662,6887,0.0865,0.0926,04/09/2021 11:30:17 PM
09/05/2020 12:00:00 AM,17840,198,0.0111,0.0095,03/17/2021 02:17:40 PM
02/21/2021 12:00:00 AM,30970,3185,0.1028,0.0762,05/22/2021 11:30:13 PM
05/28/2020 12:00:00 AM,27547,1126,0.0409,,03/17/2021 02:17:34 PM
03/17/2021 12:00:00 AM,78148,4121,0.0527,0.0639,06/12/2021 11:30:11 PM
04/05/2021 12:00:00 AM,95175,4496,0.0472,0.0645,06/12/2021 11:30:11 PM
03/01/2021 12:00:00 AM,89686,5226,0.0583,0.0676,05/29/2021 11:30:09 PM
09/24/2020 12:00:00 AM,40974,582,0.0142,0.0138,03/17/2021 02:17:45 PM
06/08/2020 12:00:00 AM,34553,793,0.023,,03/17/2021 02:17:34 PM
01/25/2021 12:00:00 AM,98090,8064,0.0822,0.0909,04/24/2021 11:30:21 PM
04/04/2021 12:00:00 AM,22949,2050,0.0893,0.0671,06/12/2021 11:30:11 PM
06/11/2020 12:00:00 AM,28047,597,0.0213,,03/17/2021 02:17:34 PM
04/17/2021 12:00:00 AM,28074,1924,0.0685,0.0485,06/12/2021 11:30:11 PM
10/17/2020 12:00:00 AM,19546,501,0.0256,0.0164,03/17/2021 02:17:53 PM
10/01/2020 12:00:00 AM,41519,738,0.0178,0.0175,03/17/2021 02:17:47 PM
05/19/2020 12:00:00 AM,21295,1645,0.0772,,03/17/2021 02:17:31 PM
10/19/2020 12:00:00 AM,55431,858,0.0155,0.0169,03/17/2021 02:17:53 PM
04/26/2021 12:00:00 AM,83304,2098,0.0252,0.0336,06/12/2021 11:30:11 PM
04/09/2020 12:00:00 AM,10339,5467,0.5288,,03/17/2021 02:15:10 PM
04/19/2020 12:00:00 AM,8189,2784,0.34,0.3782,03/17/2021 02:17:35 PM
07/23/2020 12:00:00 AM,30942,435,0.0141,,03/17/2021 02:17:31 PM
05/07/2021 12:00:00 AM,61976,1127,0.0182,0.0214,06/13/2021 11:30:10 PM
06/18/2020 12:00:00 AM,34463,573,0.0166,,03/17/2021 02:17:29 PM
09/30/2020 12:00:00 AM,43036,746,0.0173,0.0168,03/17/2021 02:17:48 PM
09/19/2020 12:00:00 AM,15454,205,0.0133,0.012,03/17/2021 02:17:40 PM
01/14/2021 12:00:00 AM,87575,7352,0.084,0.0921,04/14/2021 11:30:19 PM
06/23/2020 12:00:00 AM,32203,523,0.0162,,03/17/2021 02:17:34 PM
05/16/2021 12:00:00 AM,18058,410,0.0227,0.0148,06/13/2021 11:30:10 PM
02/02/2021 12:00:00 AM,45686,3870,0.0847,0.0878,05/01/2021 11:30:15 PM
11/29/2020 12:00:00 AM,27042,2089,0.0773,0.049,03/17/2021 04:44:57 PM
10/18/2020 12:00:00 AM,16324,511,0.0313,0.0168,03/17/2021 02:17:53 PM
03/04/2021 12:00:00 AM,76205,4441,0.0583,0.0674,05/31/2021 11:30:17 PM
04/22/2021 12:00:00 AM,72207,1996,0.0276,0.0404,06/12/2021 11:30:11 PM
08/26/2020 12:00:00 AM,38725,410,0.0106,0.0104,03/17/2021 02:17:38 PM
07/16/2020 12:00:00 AM,33957,566,0.0167,,03/17/2021 02:17:34 PM
06/20/2020 12:00:00 AM,14851,304,0.0205,,03/17/2021 02:17:29 PM
09/26/2020 12:00:00 AM,19402,337,0.0174,0.0146,03/17/2021 02:17:47 PM
06/09/2021 12:00:00 AM,52762,286,0.0054,0.007,06/14/2021 11:30:10 PM
03/19/2021 12:00:00 AM,68765,4142,0.0602,0.0631,06/12/2021 11:30:11 PM
07/25/2020 12:00:00 AM,13814,206,0.0149,,03/17/2021 02:17:29 PM
12/18/2020 12:00:00 AM,74622,4519,0.0606,0.0642,03/24/2021 02:25:35 PM
02/28/2021 12:00:00 AM,27522,2877,0.1045,0.0666,05/29/2021 11:30:09 PM
08/17/2020 12:00:00 AM,40188,432,0.0107,0.012,03/17/2021 02:17:35 PM
03/10/2020 12:00:00 AM,467,73,0.1563,,03/17/2021 02:14:54 PM
01/12/2021 12:00:00 AM,86995,7073,0.0813,0.0916,04/12/2021 11:30:21 PM
09/22/2020 12:00:00 AM,40916,505,0.0123,0.0126,03/17/2021 02:17:46 PM
11/11/2020 12:00:00 AM,55160,1769,0.0321,0.0313,03/17/2021 02:18:02 PM
05/24/2021 12:00:00 AM,67211,528,0.0079,0.0105,06/12/2021 11:30:11 PM
05/22/2020 12:00:00 AM,27031,1615,0.0597,,03/17/2021 02:17:31 PM
01/29/2021 12:00:00 AM,76903,5499,0.0715,0.089,04/25/2021 11:30:17 PM
02/08/2021 12:00:00 AM,94456,6399,0.0677,0.0871,05/08/2021 11:30:16 PM
06/06/2020 12:00:00 AM,13212,374,0.0283,,03/17/2021 02:17:31 PM
04/22/2020 12:00:00 AM,13997,4195,0.2997,,03/17/2021 02:17:31 PM
05/15/2021 12:00:00 AM,21454,455,0.0212,0.0151,06/13/2021 11:30:10 PM
06/30/2020 12:00:00 AM,33059,566,0.0171,,03/17/2021 02:17:34 PM
07/18/2020 12:00:00 AM,15284,279,0.0183,,03/17/2021 02:17:29 PM
07/01/2020 12:00:00 AM,34529,511,0.0148,,03/17/2021 02:17:34 PM
06/03/2020 12:00:00 AM,26265,853,0.0325,,03/17/2021 02:17:31 PM
03/06/2020 12:00:00 AM,85,8,0.0941,,03/17/2021 02:14:54 PM
11/13/2020 12:00:00 AM,58136,1802,0.031,0.0322,03/17/2021 02:18:03 PM
10/02/2020 12:00:00 AM,43553,730,0.0168,0.0176,03/17/2021 02:17:50 PM
12/13/2020 12:00:00 AM,28985,2812,0.097,0.0605,03/17/2021 04:46:14 PM
06/03/2021 12:00:00 AM,40966,302,0.0074,0.0075,06/14/2021 11:30:10 PM
06/07/2021 12:00:00 AM,60380,335,0.0055,0.007,06/14/2021 11:30:10 PM
10/16/2020 12:00:00 AM,44358,658,0.0148,0.016,03/17/2021 02:17:53 PM
05/03/2021 12:00:00 AM,80006,1414,0.0177,0.0259,06/13/2021 11:30:10 PM
04/12/2021 12:00:00 AM,84853,3551,0.0418,0.0536,06/12/2021 11:30:11 PM
02/07/2021 12:00:00 AM,21443,2355,0.1098,0.0873,05/08/2021 11:30:16 PM
05/01/2020 12:00:00 AM,13325,2570,0.1929,,03/17/2021 02:17:28 PM
04/18/2020 12:00:00 AM,7801,2558,0.3279,,03/17/2021 02:17:25 PM
08/31/2020 12:00:00 AM,44813,406,0.0091,0.0106,03/17/2021 02:17:38 PM
09/06/2020 12:00:00 AM,14216,261,0.0184,0.0096,03/17/2021 02:17:41 PM
08/01/2020 12:00:00 AM,14307,251,0.0175,,03/17/2021 02:17:31 PM
12/07/2020 12:00:00 AM,80948,4172,0.0515,0.0559,03/17/2021 04:46:10 PM
02/05/2021 12:00:00 AM,81474,6145,0.0754,0.0884,05/06/2021 11:30:11 PM
06/13/2020 12:00:00 AM,13845,292,0.0211,,03/17/2021 02:17:31 PM
08/07/2020 12:00:00 AM,28674,346,0.0121,,03/17/2021 02:17:32 PM
04/17/2020 12:00:00 AM,12268,4111,0.3351,,03/17/2021 02:15:04 PM
05/23/2021 12:00:00 AM,17073,284,0.0166,0.0109,06/13/2021 11:30:10 PM
07/27/2020 12:00:00 AM,34330,422,0.0123,,03/17/2021 02:17:34 PM
03/22/2020 12:00:00 AM,4638,2694,0.5809,,03/17/2021 02:17:28 PM
05/05/2020 12:00:00 AM,14993,2264,0.151,,03/17/2021 02:15:11 PM
08/12/2020 12:00:00 AM,34161,405,0.0119,,03/17/2021 02:17:34 PM
